央视,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV1,http://107.174.52.32/itv.php?id=CCTV1
CCTV2,http://107.174.52.32/itv.php?id=CCTV2
CCTV3,http://107.174.52.32/itv.php?id=CCTV3
CCTV4,http://107.174.52.32/itv.php?id=CCTV4
CCTV5,http://107.174.52.32/itv.php?id=CCTV5
CCTV5+,http://107.174.52.32/itv.php?id=CCTV5+
CCTV6,http://107.174.52.32/itv.php?id=CCTV6
CCTV7,http://107.174.52.32/itv.php?id=CCTV7
CCTV8,http://107.174.52.32/itv.php?id=CCTV8
CCTV9,http://107.174.52.32/itv.php?id=CCTV9
CCTV10,http://107.174.52.32/itv.php?id=CCTV10
CCTV11,http://107.174.52.32/itv.php?id=CCTV11
CCTV12,http://107.174.52.32/itv.php?id=CCTV12
CCTV13,http://107.174.52.32/itv.php?id=CCTV13
CCTV14,http://107.174.52.32/itv.php?id=CCTV14
CCTV15,http://107.174.52.32/itv.php?id=CCTV15
CCTV16,http://107.174.52.32/itv.php?id=CCTV16
CCTV17,http://107.174.52.32/itv.php?id=CCTV17
CCTV1,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000004000002226/1.m3u8?channel-id=bestzb&Contentid=5000000004000002226&livemode=1&stbId=
CCTV1,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/6000000001000029752/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=
CCTV1,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000018602/1.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=
CCTV1,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000005000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=
CCTV1,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000010000030810/1.m3u8?channel-id=bestzb&Contentid=5000000010000030810&livemode=1&stbId=
CCTV1,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000021973/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=
CCTV2,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/6000000001000014161/1.m3u8?channel-id=wasusyt&Contentid=6000000001000014161&livemode=1&stbId=
CCTV2,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000023315/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=
CCTV2,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000011000031101/1.m3u8?channel-id=bestzb&Contentid=5000000011000031101&livemode=1&stbId=
CCTV2,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000005000265002/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265002&livemode=1&stbId=
CCTV2,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000012442/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=
CCTV3,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000004000008883/1.m3u8?channel-id=bestzb&Contentid=5000000004000008883&livemode=1&stbId=
CCTV3,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/6000000001000022313/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022313&livemode=1&stbId=
CCTV3,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000013682/1.m3u8?channel-id=ystenlive&Contentid=1000000001000013682&livemode=1&stbId=
CCTV3,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000005000265003/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=
CCTV3,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000002000020548/1.m3u8?channel-id=bestzb&Contentid=5000000002000020548&livemode=1&stbId=
CCTV3,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000011218/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=
CCTV4,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000011000031102/1.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=
CCTV4,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000005000265004/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=
CCTV4,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000002000031664/1.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=
CCTV4,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000005000030093/1.m3u8?channel-id=bestzb&Contentid=5000000005000030093&livemode=1&stbId=
CCTV5,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000004000008885/1.m3u8?channel-id=bestzb&Contentid=5000000004000008885&livemode=1&stbId=
CCTV5,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000005000025222/1.m3u8?channel-id=ystenlive&Contentid=1000000005000025222&livemode=1&stbId=
CCTV5,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/6000000001000016431/1.m3u8?channel-id=wasusyt&Contentid=6000000001000016431&livemode=1&stbId=
CCTV5,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000003000030177/1.m3u8?channel-id=ystenlive&Contentid=1000000003000030177&livemode=1&stbId=
CCTV5,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000005000265005/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=
CCTV5,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000010000016619/1.m3u8?channel-id=bestzb&Contentid=5000000010000016619&livemode=1&stbId=
CCTV5,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000004794/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004794&livemode=1&stbId=
CCTV5+,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000011000031127/1.m3u8?channel-id=bestzb&Contentid=5000000011000031127&livemode=1&stbId=
CCTV5+,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/6000000001000015875/1.m3u8?channel-id=wasusyt&Contentid=6000000001000015875&livemode=1&stbId=
CCTV5+,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000018504/1.m3u8?channel-id=ystenlive&Contentid=1000000001000018504&livemode=1&stbId=
CCTV5+,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000005000265016/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=
CCTV5+,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000020505/1.m3u8?channel-id=ystenlive&Contentid=1000000001000020505&livemode=1&stbId=
CCTV6,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/6000000001000004574/1.m3u8?channel-id=wasusyt&Contentid=6000000001000004574&livemode=1&stbId=
CCTV6,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000001737/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001737&livemode=1&stbId=
CCTV6,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000004000008886/1.m3u8?channel-id=bestzb&Contentid=5000000004000008886&livemode=1&stbId=
CCTV6,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000005000265006/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265006&livemode=1&stbId=
CCTV6,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000010000018433/1.m3u8?channel-id=bestzb&Contentid=5000000010000018433&livemode=1&stbId=
CCTV6,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000016466/1.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=
CCTV7,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/6000000001000009055/1.m3u8?channel-id=wasusyt&Contentid=6000000001000009055&livemode=1&stbId=
CCTV7,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000024341/1.m3u8?channel-id=ystenlive&Contentid=1000000001000024341&livemode=1&stbId=
CCTV7,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000011000031104/1.m3u8?channel-id=bestzb&Contentid=5000000011000031104&livemode=1&stbId=
CCTV7,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000005000265007/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265007&livemode=1&stbId=
CCTV7,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000017218/1.m3u8?channel-id=ystenlive&Contentid=1000000001000017218&livemode=1&stbId=
CCTV7,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000005000026715/1.m3u8?channel-id=bestzb&Contentid=5000000005000026715&livemode=1&stbId=
CCTV8,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000004000008888/1.m3u8?channel-id=bestzb&Contentid=5000000004000008888&livemode=1&stbId=
CCTV8,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/6000000001000001070/1.m3u8?channel-id=wasusyt&Contentid=6000000001000001070&livemode=1&stbId=
CCTV8,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000031433/1.m3u8?channel-id=ystenlive&Contentid=1000000001000031433&livemode=1&stbId=
CCTV8,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000005000265008/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265008&livemode=1&stbId=
CCTV8,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000010000018377/1.m3u8?channel-id=bestzb&Contentid=5000000010000018377&livemode=1&stbId=
CCTV8,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000003736/1.m3u8?channel-id=ystenlive&Contentid=1000000001000003736&livemode=1&stbId=
CCTV9,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/6000000001000032162/1.m3u8?channel-id=wasusyt&Contentid=6000000001000032162&livemode=1&stbId=
CCTV9,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000014583/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=
CCTV9,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000005000265009/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265009&livemode=1&stbId=
CCTV9,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000010000018384/1.m3u8?channel-id=bestzb&Contentid=5000000010000018384&livemode=1&stbId=
CCTV9,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000028286/1.m3u8?channel-id=ystenlive&Contentid=1000000001000028286&livemode=1&stbId=
CCTV10,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000004000012827/1.m3u8?channel-id=bestzb&Contentid=5000000004000012827&livemode=1&stbId=
CCTV10,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/6000000001000031506/1.m3u8?channel-id=wasusyt&Contentid=6000000001000031506&livemode=1&stbId=
CCTV10,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000023734/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023734&livemode=1&stbId=
CCTV10,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000005000265010/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265010&livemode=1&stbId=
CCTV10,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000010000016738/1.m3u8?channel-id=bestzb&Contentid=5000000010000016738&livemode=1&stbId=
CCTV10,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000001000026367/1.m3u8?channel-id=ystenlive&Contentid=1000000001000026367&livemode=1&stbId=
CCTV11,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000011000031106/1.m3u8?channel-id=bestzb&Contentid=5000000011000031106&livemode=1&stbId=
CCTV11,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000005000265011/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265011&livemode=1&stbId=
CCTV11,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000006000040011/1.m3u8?channel-id=bestzb&Contentid=5000000006000040011&livemode=1&stbId=
CCTV11,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/1000000002000019789/1.m3u8?channel-id=ystenlive&Contentid=1000000002000019789&livemode=1&stbId=
